1,3,2,4,-2,0,0
1,2,3,-2,0,0,0
1,2,-1,0,0,0,0
1,3,4,-2,0,0,0
1,3,-2,0,0,0,0
1,-1,0,0,0,0,0
3,2,4,-4,0,0,0
2,4,-1,0,0,0,0
2,-1,0,0,0,0,0
3,-4,0,0,0,0,0
5,7,6,4,8,-2,0
5,7,4,8,-2,0,0
7,6,4,8,-4,0,0
6,4,8,-1,0,0,0
5,6,7,-2,0,0,0
5,6,-1,0,0,0,0
5,7,-2,0,0,0,0
5,-1,0,0,0,0,0
6,-1,0,0,0,0,0
7,-4,0,0,0,0,0
13,15,14,12,8,16,-2
13,15,12,8,16,-2,0
15,14,12,8,16,-4,0
14,12,8,16,-1,0,0
9,11,10,12,-2,0,0
9,10,11,-2,0,0,0
9,10,-1,0,0,0,0
9,11,12,-2,0,0,0
9,11,-2,0,0,0,0
9,-1,0,0,0,0,0
11,10,12,-4,0,0,0
10,12,-1,0,0,0,0
10,-1,0,0,0,0,0
11,-4,0,0,0,0,0
13,14,15,-2,0,0,0
13,14,-3,0,0,0,0
13,15,-2,0,0,0,0
13,-1,0,0,0,0,0
14,-1,0,0,0,0,0
15,-4,0,0,0,0,0
